================================================================================
GRID SEARCH SUMMARY REPORT
================================================================================

Total Runs: 24
Total Features: 8
Selected Features: 8

BEST RUN:
  Run ID: random_forest_5_b846fd79
  Model: random_forest
  Parameters: {"max_depth": 10, "min_samples_leaf": 10, "min_samples_split": 10, "n_estimators": 400}
  CV Score: -170777.5182 ¡¾ 1024.3837
  Training Time: 405.46s
  Memory Used: 12.51MB

MODEL STATISTICS:
              training_time_seconds                    memory_used_mb                        cv_mean          
                               mean      min       max           mean     min       max         mean       std
model_name                                                                                                    
random_forest              306.4496  88.1348  477.0967       -67.4165 -1688.0  232.7266 -171337.4896  467.8706

RUNS SUMMARY:
                       run_id     model_name  n_features  training_time_seconds  memory_used_mb        cv_mean       cv_std       test_mae      test_mse      test_rmse   test_r2
0    random_forest_0_9405eba0  random_forest           8              88.134831       27.160156 -170845.636742   997.304626  179362.428456  5.734942e+10  239477.393849  0.749736
1    random_forest_1_9a5c5d2a  random_forest           8             314.404141    -1688.000000 -170817.407101  1009.194575  179343.248672  5.732566e+10  239427.769485  0.749840
2    random_forest_2_941e768d  random_forest           8             126.498396     -127.472656 -170853.116199   999.180700  179321.308879  5.729948e+10  239373.092716  0.749954
3    random_forest_3_1ac37738  random_forest           8             262.241459       13.566406 -170828.607774  1010.774644  179309.833612  5.728048e+10  239333.412929  0.750037
4    random_forest_4_98e70979  random_forest           8             208.013972      -13.425781 -170786.484628   998.328543  179287.081087  5.734184e+10  239461.553880  0.749769
5    random_forest_5_b846fd79  random_forest           8             405.463270       12.507812 -170777.518219  1024.383720  179282.567175  5.733269e+10  239442.457892  0.749809
6    random_forest_6_48e8aea8  random_forest           8             209.702486      -13.664062 -170791.096092  1000.344075  179284.707933  5.733446e+10  239446.154797  0.749801
7    random_forest_7_f01761af  random_forest           8             400.839913       15.550781 -170779.977814  1025.348316  179283.209258  5.732514e+10  239426.687435  0.749842
8    random_forest_8_eb9519e7  random_forest           8             178.536246      161.941406 -172126.679403   774.028216  180202.156204  5.762196e+10  240045.740208  0.748547
9    random_forest_9_1d8c1135  random_forest           8             477.096661      196.675781 -171993.171006   786.172258  180128.596783  5.755652e+10  239909.393784  0.748832
10  random_forest_10_a4b3f381  random_forest           8             230.008980     -304.898438 -171507.534657   792.554938  179616.135733  5.728037e+10  239333.184467  0.750037
11  random_forest_11_23613e7e  random_forest           8             441.263064      100.054688 -171417.742516   802.371234  179591.347123  5.724892e+10  239267.459503  0.750175
12  random_forest_12_802a326a  random_forest           8             240.962069      -78.000000 -171490.677418   854.424105  179761.105024  5.745884e+10  239705.733833  0.749259
13  random_forest_13_e77508be  random_forest           8             452.663118      104.058594 -171442.878324   871.044434  179703.153590  5.741650e+10  239617.404209  0.749443
14  random_forest_14_b508b76f  random_forest           8             215.951320     -121.195312 -171314.053718   876.548124  179589.721864  5.736151e+10  239502.629224  0.749683
15  random_forest_15_a708407e  random_forest           8             428.977082       99.328125 -171263.824539   894.468908  179535.874982  5.732212e+10  239420.382442  0.749855
16  random_forest_16_50f347f2  random_forest           8             249.996857       63.867188 -172290.615103   777.974095  180371.154123  5.769116e+10  240189.843189  0.748245
17  random_forest_17_919939a9  random_forest           8             467.417582      232.726562 -172140.043882   777.357797  180302.790680  5.762594e+10  240054.041695  0.748529
18  random_forest_18_ebba2707  random_forest           8             228.793509     -398.332031 -171559.029213   793.860439  179680.244044  5.730441e+10  239383.399738  0.749933
19  random_forest_19_b8c16c83  random_forest           8             444.617383      102.808594 -171466.781310   803.202094  179660.096638  5.727286e+10  239317.478707  0.750070
20  random_forest_20_5ae063de  random_forest           8             217.670553      -26.355469 -171522.309625   849.282160  179801.551279  5.747444e+10  239738.269931  0.749191
21  random_forest_21_c3a11d1b  random_forest           8             421.341521       65.714844 -171470.984827   864.458643  179740.479722  5.743155e+10  239648.806019  0.749378
22  random_forest_22_019e7191  random_forest           8             218.895859     -144.250000 -171333.225861   873.886712  179617.485611  5.737275e+10  239526.100034  0.749634
23  random_forest_23_81b077c4  random_forest           8             425.299597      101.636719 -171280.355531   890.263254  179561.638691  5.733320e+10  239443.513646  0.749807
